,Segmento,SemanaDoMes,QtdDiasSemCompras,CamprasMedia,CamprasMediaMesAtual,UltimaCompraCancelada,Positivada
25188,8,4,4,0.0,5,0,0
6309,8,4,7,8.0,20,0,0
24033,8,4,28,8.0,5,0,0
15283,8,4,42,0.0,7,0,0
30502,8,4,18,8.0,7,1,0
13263,8,4,21,8.0,11,0,0
5629,8,4,6,0.0,9,0,0
20021,8,4,49,0.0,3,0,0
21476,8,4,27,0.0,4,1,0
33094,8,4,5,0.0,15,0,0
524,8,4,14,0.0,4,0,0
728,8,4,5,0.0,22,0,0
12342,8,4,11,0.0,6,0,0
20182,8,4,21,0.0,9,0,0
1563,8,4,26,0.0,4,1,0
29884,8,4,7,0.0,14,0,0
4666,8,4,62,8.0,0,0,0
24491,8,4,40,0.0,6,0,0
706,8,4,5,0.0,3,0,0
21959,8,4,5,8.0,8,0,0
22727,8,4,13,8.0,7,0,0
39330,8,4,14,8.0,10,0,0
39962,8,4,28,8.0,7,0,0
25858,8,4,49,0.0,8,1,0
2834,8,4,26,0.0,7,1,0
17325,8,4,12,8.0,6,0,0
28774,8,4,15,8.0,11,0,0
25538,8,4,8,0.0,3,0,0
30359,8,4,15,0.0,3,0,0
13184,8,4,35,8.0,5,1,0
23806,8,4,7,8.0,32,0,0
25240,8,4,49,0.0,5,1,0
37606,8,4,24,0.0,0,0,0
32808,8,4,25,0.0,0,0,0
36121,8,4,14,0.0,8,0,0
23310,8,4,5,0.0,5,0,0
2179,8,4,70,8.0,0,0,0
22635,8,4,7,8.0,20,0,0
28962,8,4,20,0.0,27,0,0
28928,8,4,8,0.0,4,0,0
19956,8,4,21,8.0,7,0,0
1750,8,4,34,8.0,5,1,0
7919,8,4,28,8.0,5,1,0
14188,8,4,42,0.0,2,0,0
34666,8,4,63,8.0,9,1,0
28766,8,4,3,0.0,18,0,0
24064,8,4,27,0.0,0,0,0
23587,8,4,17,0.0,9,0,0
36292,8,4,42,0.0,3,0,0
12554,8,4,6,8.0,7,0,0
31010,8,4,49,8.0,3,1,0
27537,8,4,49,8.0,7,0,0
11293,8,4,1,8.0,5,0,0
4603,8,4,13,0.0,17,0,0
13170,8,4,42,8.0,8,1,0
2457,8,4,13,8.0,3,0,0
23454,8,4,7,8.0,3,0,0
1993,8,4,21,8.0,8,0,0
25520,8,4,7,8.0,8,0,0
29551,8,4,41,8.0,3,1,0
26396,8,4,14,8.0,4,0,0
19780,8,4,14,0.0,6,0,0
37840,8,4,15,8.0,10,1,0
13254,8,4,49,0.0,11,1,0
31756,8,4,14,8.0,5,0,0
2938,8,4,18,0.0,8,0,0
6720,8,4,25,8.0,7,0,0
801,8,4,33,0.0,3,1,0
2968,8,4,42,8.0,8,0,0
10744,8,4,10,0.0,5,0,0
28802,8,4,21,8.0,3,0,0
66,8,4,28,0.0,6,0,0
21855,8,4,35,0.0,9,1,0
10162,8,4,6,0.0,3,0,0
17229,8,4,49,8.0,5,0,0
16493,8,4,73,8.0,3,1,0
17633,8,4,14,8.0,8,0,0
2180,8,4,21,0.0,9,0,0
3296,8,4,77,8.0,8,1,0
30566,8,4,63,8.0,5,1,0
1837,8,4,60,8.0,0,0,0
35244,8,4,7,0.0,2,0,0
34590,8,4,22,0.0,0,0,0
34476,8,4,21,8.0,10,0,0
20522,8,4,8,8.0,21,0,0
17930,8,4,26,0.0,3,1,0
23957,8,4,4,8.0,5,0,0
31308,8,4,7,8.0,17,0,0
20888,8,4,3,8.0,6,0,0
33015,8,4,49,0.0,12,1,0
5509,8,4,7,0.0,13,0,0
21977,8,4,28,0.0,0,0,0
2598,8,4,42,0.0,3,0,0
13034,8,4,5,8.0,6,0,0
33012,8,4,13,8.0,11,0,0
38635,8,4,28,8.0,5,0,0
12857,8,4,26,0.0,2,1,0
34221,8,4,35,0.0,18,1,0
3109,8,4,55,8.0,6,0,0
20800,8,4,7,0.0,11,0,0
7695,8,4,7,8.0,12,0,0
361,8,4,70,8.0,12,1,0
17100,8,4,19,8.0,4,0,0
18836,8,4,24,0.0,5,1,0
37636,8,4,19,0.0,17,0,0
35395,8,4,14,0.0,21,0,0
13744,8,4,7,8.0,13,0,0
33642,8,4,7,8.0,10,0,0
6467,8,4,18,0.0,9,0,0
36566,8,4,19,8.0,5,0,0
37916,8,4,42,8.0,2,0,0
31832,8,4,29,8.0,0,0,0
1461,8,4,21,0.0,3,1,0
25986,8,4,42,8.0,4,0,0
36867,8,4,24,0.0,10,1,0
5601,8,4,27,0.0,12,1,0
27406,8,4,49,8.0,6,0,0
13588,8,4,21,8.0,7,1,0
31159,8,4,7,0.0,6,0,0
12320,8,4,20,0.0,15,0,0
28985,8,4,24,0.0,7,1,0
9009,8,4,48,8.0,3,0,0
26411,8,4,35,8.0,2,0,0
21784,8,4,49,0.0,4,1,0
20506,8,4,35,8.0,6,0,0
21354,8,4,2,0.0,4,0,0
14906,8,4,7,0.0,22,0,0
0,8,4,24,0.0,4,1,0
3877,8,4,9,8.0,4,0,0
17420,8,4,21,0.0,3,1,0
35579,8,4,30,8.0,3,0,0
37427,8,4,2,8.0,5,0,0
24850,8,4,14,0.0,4,0,0
31164,8,4,27,0.0,14,1,0
30227,8,4,19,0.0,27,0,0
17681,8,4,14,8.0,9,0,0
20140,8,4,28,0.0,3,0,0
25929,8,4,7,8.0,6,0,0
20565,8,4,21,8.0,5,0,0
29931,8,4,25,0.0,12,1,0
17673,8,4,35,0.0,10,0,0
39356,8,4,6,8.0,12,0,0
19637,8,4,34,8.0,3,1,0
9483,8,4,13,8.0,15,1,0
32513,8,4,1,8.0,1,0,0
2368,8,4,61,8.0,3,1,0
10420,8,4,7,8.0,12,0,0
2614,8,4,18,0.0,6,0,0
10153,8,4,20,8.0,18,1,0
19445,8,4,47,0.0,6,1,0
15771,8,4,7,0.0,12,0,0
15022,8,4,9,0.0,9,0,0
12131,8,4,11,8.0,17,0,0
25768,8,4,42,0.0,5,0,0
12713,8,4,20,8.0,5,0,0
270,8,4,7,8.0,4,0,0
22316,8,4,13,8.0,6,0,0
23106,8,4,7,8.0,7,0,0
30399,8,4,35,0.0,7,0,0
31611,8,4,49,8.0,7,1,0
24752,8,4,44,8.0,6,0,0
24021,8,4,2,0.0,5,0,0
21958,8,4,12,0.0,6,0,0
14943,8,4,49,8.0,4,0,0
7469,8,4,7,0.0,19,0,0
34710,8,4,2,0.0,9,0,0
13971,8,4,4,0.0,7,0,0
34654,8,4,14,8.0,12,0,0
12478,8,4,11,0.0,7,0,0
8541,8,4,14,8.0,4,0,0
34250,8,4,11,0.0,8,0,0
28922,8,4,33,0.0,5,1,0
7970,8,4,11,0.0,43,0,0
36758,8,4,75,8.0,4,1,0
13568,8,4,53,8.0,9,1,0
21867,8,4,26,8.0,0,0,0
8714,8,4,35,8.0,15,0,0
1620,8,4,5,0.0,13,0,0
11157,8,4,14,8.0,9,0,0
19789,8,4,1,0.0,8,0,0
18451,8,4,35,0.0,4,0,0
13914,8,4,70,8.0,8,1,0
3767,8,4,7,0.0,18,0,0
29210,8,4,13,0.0,5,0,0
5964,8,4,21,8.0,3,0,0
25817,8,4,27,0.0,4,0,0
24407,8,4,56,8.0,3,1,0
14763,8,4,21,0.0,7,1,0
36573,8,4,21,8.0,5,0,0
31621,8,4,35,0.0,6,0,0
26049,8,4,21,0.0,10,0,0
17195,8,4,35,0.0,3,1,0
38969,8,4,35,0.0,4,1,0
28304,8,4,1,0.0,9,0,0
19585,8,4,12,0.0,3,0,0
2215,8,4,38,8.0,8,0,0
26989,8,4,23,0.0,0,0,0
19241,8,4,14,8.0,14,0,0
490,8,4,7,8.0,25,0,0
10121,8,4,5,8.0,9,0,0
16264,8,4,8,8.0,11,0,0
25900,8,3,26,8.0,8,0,1
10803,8,3,24,8.0,10,1,1
37837,8,3,7,0.0,9,0,1
11364,8,3,21,0.0,18,1,1
3675,8,3,6,8.0,5,0,1
23645,8,3,69,8.0,0,0,1
35921,8,3,36,0.0,9,1,1
32810,8,3,21,0.0,13,1,1
5517,8,3,23,8.0,4,1,1
18803,8,3,28,0.0,59,1,1
24270,8,3,10,8.0,45,1,1
10391,8,3,35,0.0,5,1,1
17925,8,3,65,8.0,3,1,1
14917,8,3,5,8.0,8,0,1
9517,8,3,15,0.0,2,0,1
9096,8,3,9,8.0,7,0,1
35549,8,3,18,0.0,6,1,1
22268,8,3,15,8.0,15,0,1
26234,8,3,21,0.0,5,1,1
16223,8,3,28,8.0,6,1,1
14664,8,3,10,0.0,14,1,1
4165,8,3,4,8.0,14,0,1
28269,8,3,12,8.0,5,0,1
33178,8,3,34,8.0,4,1,1
8754,8,3,33,0.0,2,1,1
40405,8,3,21,0.0,14,1,1
35192,8,3,7,0.0,7,0,1
13084,8,3,24,0.0,14,1,1
38848,8,3,20,0.0,6,1,1
23873,8,3,35,0.0,4,1,1
11955,8,3,21,0.0,9,0,1
34363,8,3,17,0.0,5,1,1
8628,8,3,18,0.0,4,1,1
13283,8,3,15,0.0,6,0,1
25010,8,3,12,8.0,12,0,1
1790,8,3,35,0.0,7,0,1
37233,8,3,23,0.0,21,0,1
1225,8,3,34,0.0,4,0,1
13451,8,3,14,8.0,9,0,1
18078,8,3,51,8.0,7,1,1
25684,8,3,9,0.0,15,1,1
31528,8,3,21,8.0,7,0,1
9655,8,3,21,0.0,5,0,1
36568,8,3,28,0.0,18,0,1
31613,8,3,52,8.0,9,1,1
29303,8,3,13,0.0,27,0,1
1958,8,3,35,0.0,7,1,1
26146,8,3,6,8.0,6,0,1
25714,8,3,11,8.0,5,0,1
38193,8,3,27,8.0,16,1,1
8378,8,3,9,8.0,5,0,1
18070,8,3,14,0.0,14,0,1
20602,8,3,4,0.0,8,0,1
34920,8,3,22,8.0,0,0,1
27984,8,3,18,0.0,0,0,1
7401,8,3,21,0.0,18,0,1
11989,8,3,17,0.0,7,1,1
39903,8,3,21,0.0,9,1,1
2694,8,3,19,0.0,0,0,1
20388,8,3,33,0.0,3,1,1
26847,8,3,34,0.0,15,0,1
27224,8,3,9,0.0,19,0,1
4368,8,3,21,0.0,3,1,1
32918,8,3,35,0.0,6,0,1
40826,8,3,14,0.0,7,0,1
40426,8,3,14,0.0,4,0,1
32062,8,3,28,0.0,11,0,1
4491,8,3,10,8.0,8,0,1
12030,8,3,35,0.0,3,0,1
16123,8,3,21,0.0,4,0,1
5729,8,3,8,0.0,6,0,1
37856,8,3,23,8.0,9,0,1
39960,8,3,15,0.0,0,0,1
14883,8,3,20,0.0,0,0,1
39844,8,3,7,0.0,13,0,1
30941,8,3,7,0.0,68,0,1
18100,8,3,9,8.0,6,0,1
22372,8,3,9,8.0,12,0,1
38452,8,3,6,0.0,3,0,1
24239,8,3,7,0.0,22,0,1
22634,8,3,9,8.0,4,0,1
37612,8,3,35,0.0,5,0,1
583,8,3,29,8.0,5,0,1
20452,8,3,28,0.0,5,0,1
32923,8,3,20,0.0,0,0,1
38926,8,3,34,8.0,5,1,1
38109,8,3,12,8.0,9,0,1
9521,8,3,12,8.0,14,0,1
3882,8,3,21,0.0,12,1,1
21044,8,3,30,8.0,1,1,1
2145,8,3,4,0.0,6,0,1
4048,8,3,13,8.0,8,0,1
27497,8,3,5,0.0,4,0,1
24679,8,3,21,0.0,12,0,1
37042,8,3,28,0.0,7,0,1
4124,8,3,5,0.0,4,0,0
38171,8,3,6,8.0,8,0,0
1271,8,3,23,8.0,10,0,0
5593,8,3,19,8.0,4,0,0
24775,8,3,21,0.0,15,0,0
32823,8,3,49,8.0,23,0,0
39628,8,3,8,0.0,6,0,0
39055,8,3,16,0.0,16,1,0
40435,8,3,19,0.0,2,1,0
14970,8,3,9,8.0,5,0,0
29814,8,3,14,0.0,3,0,0
12893,8,3,19,8.0,0,0,0
16453,8,3,58,8.0,0,0,0
7637,8,3,18,0.0,6,1,0
39401,8,3,30,8.0,6,0,0
4210,8,3,33,8.0,7,0,0
24278,8,3,5,8.0,9,0,0
15721,8,3,9,0.0,13,0,0
27941,8,3,7,0.0,16,0,0
23441,8,3,28,0.0,6,0,0
16341,8,3,18,8.0,9,0,0
24809,8,3,17,0.0,4,1,0
34051,8,3,9,0.0,8,0,0
11886,8,3,10,0.0,9,0,0
9582,8,3,37,8.0,6,0,0
1056,8,3,23,8.0,12,1,0
2824,8,3,33,8.0,4,1,0
30052,8,3,38,8.0,6,1,0
17379,8,3,48,8.0,4,1,0
28147,8,3,23,8.0,7,0,0
35593,8,3,47,8.0,4,0,0
32384,8,3,37,8.0,7,1,0
16887,8,3,7,0.0,15,0,0
12876,8,3,9,8.0,10,0,0
26094,8,3,18,0.0,0,0,0
5698,8,3,19,0.0,4,0,0
6231,8,3,14,0.0,8,0,0
5548,8,3,28,0.0,22,0,0
24738,8,3,28,0.0,9,1,0
2412,8,3,13,8.0,16,0,0
7831,8,3,19,8.0,5,0,0
18134,8,3,9,8.0,9,0,0
23370,8,3,37,8.0,10,0,0
1472,8,3,37,8.0,3,0,0
19184,8,3,5,0.0,13,0,0
17587,8,3,34,8.0,3,0,0
18902,8,3,12,0.0,5,0,0
19875,8,3,22,0.0,4,0,0
16070,8,3,25,8.0,12,0,0
32091,8,3,21,0.0,13,1,0
17928,8,3,17,8.0,5,0,0
14435,8,3,2,0.0,6,0,0
22845,8,3,35,0.0,2,1,0
32396,8,3,18,0.0,0,0,0
35219,8,3,7,0.0,8,0,0
976,8,3,35,0.0,15,0,0
2474,8,3,12,0.0,4,0,0
32820,8,3,66,8.0,9,1,0
27810,8,3,76,8.0,0,0,0
7261,8,3,2,8.0,6,0,0
12873,8,3,21,0.0,10,1,0
5862,8,3,14,0.0,10,0,0
7492,8,3,19,0.0,5,1,0
11250,8,3,23,8.0,0,0,0
1241,8,3,18,0.0,2,1,0
15689,8,3,35,0.0,8,0,0
29495,8,3,41,8.0,4,0,0
25695,8,3,15,8.0,15,0,0
39347,8,3,20,0.0,0,0,0
28329,8,3,19,8.0,7,0,0
28609,8,3,13,0.0,8,0,0
32558,8,3,22,8.0,0,1,0
31248,8,3,32,0.0,7,1,0
31386,8,3,27,8.0,3,0,0
31497,8,3,40,8.0,5,0,0
39261,8,3,42,0.0,1,0,0
13613,8,3,19,0.0,9,1,0
16062,8,3,32,8.0,3,1,0
20448,8,3,41,8.0,14,1,0
9419,8,3,17,0.0,5,1,0
24812,8,3,24,8.0,12,0,0
6862,8,3,20,8.0,6,0,0
17956,8,3,36,0.0,10,1,0
37998,8,3,8,0.0,7,0,0
22212,8,3,63,8.0,5,1,0
29913,8,3,15,0.0,8,1,0
12389,8,3,12,8.0,5,0,0
39142,8,3,34,8.0,8,0,0
17662,8,3,13,0.0,3,0,0
3179,8,3,27,8.0,5,0,0
19026,8,3,47,8.0,5,1,0
8518,8,3,10,8.0,5,0,0
3477,8,3,17,0.0,6,0,0
33446,8,3,21,0.0,7,0,0
36865,8,3,34,8.0,3,1,0
15437,8,3,16,0.0,5,1,0
930,8,3,20,0.0,0,0,0
8286,8,3,80,8.0,0,0,0
21846,8,3,13,8.0,4,0,0
32161,8,3,23,8.0,4,1,0
13445,8,3,24,8.0,4,0,0
32834,8,3,9,8.0,12,0,0
5382,8,3,18,0.0,5,1,0
25481,8,3,21,0.0,10,0,0
39850,8,3,20,0.0,6,0,0
18494,8,3,6,0.0,6,0,0
12887,8,3,16,0.0,26,0,0
16297,8,3,6,0.0,27,0,0
25579,8,3,10,8.0,9,0,0
39622,8,3,13,8.0,3,0,0
15778,8,3,8,8.0,5,0,0
11139,8,3,12,8.0,11,0,0
16460,8,3,75,8.0,0,0,0
9962,8,3,9,8.0,22,0,0
3130,8,3,21,0.0,7,1,0
27227,8,3,9,8.0,17,0,0
29799,8,3,21,0.0,15,0,0
14799,8,3,16,8.0,3,0,0
37217,8,3,10,8.0,9,1,0
27960,8,3,6,8.0,19,0,0
1103,8,3,6,8.0,7,0,0
4526,8,3,70,8.0,0,0,0
15422,8,3,45,8.0,12,0,0
24802,8,3,23,8.0,17,0,0
40186,8,3,7,8.0,4,0,0
8950,8,3,7,0.0,5,0,0
3922,8,3,21,0.0,6,0,0
12589,8,3,5,8.0,5,0,0
20137,8,3,5,8.0,12,0,0
7392,8,3,23,8.0,4,0,0
22469,8,3,35,0.0,12,1,0
38390,8,3,21,0.0,3,0,0
16697,8,3,5,0.0,8,0,0
38883,8,3,12,0.0,72,0,0
38436,8,3,21,0.0,0,0,0
24826,8,3,35,0.0,3,1,0
17571,8,3,8,0.0,4,0,0
8323,8,3,7,0.0,24,0,0
16652,8,3,23,8.0,8,0,0
21832,8,3,17,8.0,14,0,0
1507,8,3,33,8.0,23,0,0
28550,8,3,13,0.0,4,0,0
2042,8,3,35,0.0,6,1,0
8015,8,3,12,0.0,9,0,0
31929,8,3,6,0.0,11,0,0
30538,8,3,14,0.0,10,0,0
10913,8,3,38,8.0,4,0,0
9528,8,3,5,0.0,14,0,0
33891,8,3,33,8.0,9,0,0
32348,8,3,16,0.0,5,0,0
9923,8,3,10,8.0,3,0,0
38689,8,3,45,8.0,8,0,0
27783,8,3,52,8.0,7,1,0
27504,8,3,7,0.0,13,0,0
29177,8,3,19,0.0,3,1,0
25663,8,3,34,0.0,4,0,0
39424,8,3,45,8.0,5,0,0
25653,8,3,66,8.0,0,0,0
17390,8,3,49,8.0,11,0,0
39078,8,3,16,8.0,5,0,0
16842,8,3,4,0.0,8,0,0
34074,8,3,9,8.0,9,0,0
16631,8,3,7,0.0,27,0,0
17838,8,3,7,0.0,24,0,0
32518,8,3,11,0.0,7,0,0
30529,8,3,6,8.0,12,0,0
2147,8,3,31,8.0,7,0,0
40739,8,3,21,0.0,0,0,0
10973,8,3,7,0.0,30,0,0
15619,8,3,62,8.0,6,1,0
28737,8,3,10,8.0,12,0,0
26092,8,3,3,8.0,5,0,0
34078,8,3,3,8.0,4,0,0
22573,8,3,9,8.0,6,0,0
11366,8,3,23,8.0,18,0,0
26866,8,3,15,0.0,5,0,0
10279,8,3,17,8.0,12,0,0
13743,8,3,27,8.0,13,0,0
25236,8,3,51,8.0,4,0,0
4327,8,3,7,8.0,6,0,0
17878,8,3,7,0.0,5,0,0
7269,8,3,28,0.0,5,1,0
26405,8,3,24,8.0,7,0,0
22016,8,3,5,0.0,2,0,0
2490,8,3,21,0.0,12,0,0
17044,8,3,3,8.0,8,0,0
10816,8,3,21,8.0,32,0,0
30166,8,3,33,0.0,2,0,0
23757,8,3,35,0.0,11,1,0
23041,8,3,3,0.0,8,0,0
38798,8,3,9,8.0,13,0,0
33371,8,3,12,8.0,4,0,0
19972,8,3,6,8.0,14,0,0
38085,8,3,21,0.0,4,1,0
14452,8,3,21,0.0,1,1,0
20924,8,3,51,8.0,3,0,0
21540,8,3,16,0.0,6,1,0
37804,8,3,40,8.0,5,0,0
2516,8,3,8,0.0,9,0,0
9188,8,3,15,8.0,13,0,0
21270,8,3,9,0.0,4,0,0
36082,8,3,13,8.0,11,0,0
20273,8,3,35,0.0,12,0,0
13759,8,3,7,8.0,5,0,0
1420,8,3,7,0.0,10,0,0
22672,8,3,12,8.0,3,0,0
24497,8,3,5,0.0,9,0,0
17320,8,3,8,0.0,6,0,0
39939,8,3,13,8.0,9,0,0
35483,8,3,18,8.0,6,0,0
34020,8,3,52,8.0,11,1,0
31148,8,3,21,0.0,11,0,0
7189,8,3,36,0.0,23,0,0
26812,8,3,13,8.0,24,0,0
36768,8,3,38,0.0,19,0,0
37500,8,3,61,8.0,0,0,0
4133,8,3,14,0.0,9,0,0
23003,8,3,8,0.0,13,0,0
35537,8,3,6,8.0,3,0,0
40829,8,3,12,8.0,5,0,0
40427,8,3,52,8.0,4,1,0
20412,8,3,20,0.0,5,1,0
28731,8,3,7,8.0,8,0,0
11344,8,3,15,8.0,3,0,0
26403,8,3,35,0.0,4,0,0
27128,8,3,20,0.0,4,1,0
39141,8,3,5,8.0,3,0,0
26083,8,3,64,8.0,0,0,0
40825,8,3,10,8.0,13,0,0
33732,8,3,21,0.0,5,1,0
34366,8,3,3,8.0,8,0,0
2433,8,3,33,8.0,8,0,0
6247,8,3,14,0.0,11,0,0
23323,8,3,28,8.0,2,0,0
8905,8,3,10,8.0,7,0,0
36605,8,3,11,8.0,4,0,0
18055,8,3,9,0.0,4,0,0
8913,8,3,35,0.0,2,0,0
10307,8,3,6,8.0,16,0,0
733,8,3,21,0.0,3,0,0
33037,8,3,9,8.0,4,0,0
22222,8,3,12,0.0,7,0,0
7603,8,3,5,0.0,9,0,0
11601,8,3,69,8.0,0,0,0
32957,8,3,26,0.0,26,0,0
8716,8,3,5,8.0,5,0,0
25032,8,3,12,0.0,6,0,0
39701,8,3,8,8.0,7,0,0
6348,8,3,41,0.0,17,0,0
24970,8,3,7,0.0,2,0,0
21264,8,3,21,0.0,7,0,0
16273,8,3,11,8.0,12,1,0
30401,8,3,5,8.0,11,0,0
8823,8,3,52,8.0,7,0,0
18922,8,3,38,8.0,6,1,0
22040,8,3,23,8.0,12,1,0
4524,8,3,21,0.0,4,0,0
37972,8,3,21,8.0,6,0,0
40318,8,3,16,8.0,5,0,0
22493,8,3,62,8.0,15,1,0
11303,8,3,23,8.0,22,0,0
10561,8,3,5,8.0,8,0,0
33483,8,3,21,0.0,8,1,0
31670,8,3,14,0.0,4,0,0
28284,8,3,45,8.0,2,1,0
28118,8,3,17,0.0,8,1,0
20148,8,5,20,0.0,4,0,1
24654,8,5,28,0.0,8,0,1
24360,8,5,5,8.0,10,0,1
