Segmento,SemanaDoMes,QtdDiasSemCompras,CamprasMedia,CamprasMediaMesAtual,UltimaCompraCancelada,Positivada
14,4,30,8.0,8,1,0
15,1,35,8.0,4,1,0
5,2,14,8.0,5,1,0
8,2,45,8.0,4,1,1
5,1,9,0.0,4,0,0
14,1,9,10.5,9,0,0
17,1,7,12.0,3,0,0
17,2,14,8.5,6,0,0
17,3,42,0.0,18,0,0
15,2,18,8.0,8,0,0
8,3,21,0.0,3,1,0
8,1,53,10.5,5,1,0
8,2,8,8.0,5,0,0
17,3,5,0.0,5,0,0
8,4,70,8.0,12,1,0
14,5,7,0.0,9,0,0
8,3,14,0.0,6,0,0
14,1,6,8.0,0,1,0
8,4,7,8.0,5,0,0
10,3,8,8.0,9,0,0
21,2,8,8.0,8,0,0
5,5,6,8.0,6,0,0
19,2,18,8.0,6,0,0
14,3,7,8.0,5,0,0
8,2,67,11.5,4,1,0
17,3,6,0.0,5,0,0
17,1,6,10.0,8,0,0
10,2,7,0.0,21,0,1
14,4,28,0.0,18,0,0
21,1,2,0.0,3,1,1
19,3,7,0.0,8,0,0
14,1,28,0.0,3,0,0
15,3,9,0.0,8,0,1
17,3,21,8.0,0,1,0
12,2,11,24.0,47,1,1
21,3,7,0.0,4,0,1
15,1,7,8.5,4,0,1
10,4,20,8.0,6,0,0
14,2,17,8.0,4,0,0
5,4,14,8.0,17,1,0
19,2,21,12.5,10,0,0
15,5,20,0.0,4,0,0
10,3,35,0.0,6,0,0
5,1,22,0.0,7,0,0
14,1,42,13.5,6,1,0
14,4,29,8.0,0,0,0
8,4,6,0.0,5,1,0
5,1,7,9.5,3,0,1
19,3,35,0.0,18,0,1
5,2,56,15.5,2,1,0
15,2,11,8.0,4,0,0
5,4,21,8.0,10,0,0
8,1,4,0.0,0,0,1
17,4,14,0.0,6,0,0
14,1,13,8.0,4,0,0
14,1,35,8.0,9,1,0
5,4,49,0.0,5,1,0
14,2,21,8.0,3,0,0
21,4,30,8.0,0,1,0
17,2,7,12.5,9,0,0
14,1,27,8.0,7,0,0
14,2,20,8.0,7,0,0
19,4,27,0.0,0,0,0
10,2,98,10.5,0,1,1
14,4,7,0.0,7,0,1
15,2,21,0.0,4,1,1
5,3,79,8.0,0,0,0
14,1,15,18.5,30,0,0
14,5,49,0.0,3,0,0
19,2,66,8.0,0,0,0
8,1,62,14.5,6,1,1
14,3,37,8.0,5,0,0
14,3,21,0.0,7,0,0
8,2,14,8.0,11,0,0
19,2,7,8.5,16,0,0
17,2,20,11.0,12,0,0
21,1,6,0.0,0,0,0
10,2,21,12.0,5,0,1
10,1,13,0.0,9,0,1
14,2,30,10.5,4,0,1
14,2,8,0.0,2,1,1
8,1,21,11.0,5,0,0
5,1,56,8.5,4,1,0
12,3,62,8.0,60,1,1
8,1,21,0.0,18,0,0
14,2,30,8.0,10,0,0
19,1,7,10.5,5,0,0
10,1,5,0.0,0,0,0
10,3,6,8.0,7,0,0
14,2,7,12.5,5,0,0
5,2,6,0.0,3,0,0
17,3,21,0.0,7,0,0
17,4,28,8.0,3,0,0
10,1,11,8.0,9,0,0
19,1,7,10.0,3,0,0
10,2,6,0.0,2,0,0
5,4,14,0.0,5,0,0
14,3,36,8.0,4,0,0
14,1,12,8.0,12,0,0
10,1,21,0.0,10,0,0
21,4,2,8.0,9,0,0
21,2,5,8.0,14,0,0
5,3,14,0.0,7,0,1
15,5,49,0.0,2,0,0
15,5,34,0.0,6,0,0
8,4,15,0.0,3,0,0
10,1,28,13.0,6,0,0
15,3,7,0.0,6,0,0
14,1,21,8.0,5,1,0
5,4,42,8.0,3,0,0
21,1,20,0.0,4,0,0
14,3,35,0.0,11,0,0
14,2,7,12.5,4,0,0
17,1,49,8.0,1,1,0
14,1,19,0.0,5,0,0
17,3,27,8.0,5,0,0
14,2,7,11.0,4,0,1
5,4,14,0.0,7,0,1
15,3,7,0.0,15,0,0
5,1,28,0.0,9,0,0
14,1,35,13.5,7,0,0
14,1,42,8.5,0,0,0
15,1,21,0.0,9,1,0
15,1,21,10.0,6,0,0
21,4,63,8.0,0,0,1
14,2,91,12.5,0,0,0
5,5,13,8.0,4,0,0
5,4,41,0.0,4,0,0
21,1,21,10.5,5,0,0
14,1,21,8.0,6,0,0
5,2,51,8.0,15,1,0
8,3,22,8.0,30,1,0
14,4,46,0.0,12,1,0
17,3,9,8.0,7,0,0
5,2,22,8.0,15,1,0
15,4,7,0.0,3,0,0
14,2,10,10.0,0,1,0
8,2,65,8.0,0,0,1
15,1,21,0.0,27,0,0
19,4,3,8.0,3,0,0
17,1,46,10.5,6,1,0
21,1,35,8.0,5,0,0
17,4,14,0.0,20,0,0
8,4,7,8.0,25,0,0
19,1,1,0.0,4,1,0
14,2,10,0.0,0,0,1
17,4,39,8.0,4,0,1
15,1,13,8.5,6,0,0
10,2,10,0.0,3,1,0
14,2,35,0.0,10,1,1
5,2,29,8.0,9,0,0
10,2,7,10.5,15,0,0
1,2,8,11.5,12,0,1
14,2,33,0.0,7,0,0
17,1,12,8.0,6,0,0
5,1,20,9.5,5,0,0
5,5,1,0.0,4,0,0
14,1,7,10.0,4,0,1
14,1,41,10.5,0,0,0
8,1,5,0.0,5,1,1
8,3,17,8.0,8,0,0
5,4,7,0.0,19,0,0
5,1,35,8.0,9,0,0
8,3,14,0.0,8,0,0
10,4,21,8.0,8,0,1
19,1,20,0.0,8,0,1
8,2,7,12.5,7,0,0
17,4,56,8.0,26,0,0
15,1,32,16.5,4,0,0
14,5,21,0.0,5,1,1
10,3,57,8.0,0,0,0
10,4,49,0.0,14,0,0
14,1,7,0.0,23,0,1
14,2,76,14.0,10,1,0
14,4,12,0.0,5,0,1
10,3,14,0.0,5,0,1
17,3,4,0.0,14,0,0
8,4,14,0.0,4,0,0
21,4,38,0.0,4,0,1
17,2,21,13.0,8,0,1
19,3,20,0.0,11,0,0
15,4,21,0.0,10,0,1
5,3,10,8.0,4,0,0
14,2,24,8.0,3,0,0
8,4,5,8.0,14,0,0
19,3,7,0.0,18,0,0
14,2,37,8.0,5,0,0
15,2,12,8.5,0,0,0
8,3,23,8.0,9,0,0
17,4,6,0.0,7,0,0
10,3,7,0.0,8,0,0
8,3,3,0.0,5,0,0
19,2,11,8.0,17,0,0
15,5,14,0.0,5,0,0
10,1,84,13.5,13,1,0
8,5,27,8.0,9,1,1
19,2,7,0.0,18,0,0
10,2,30,0.0,45,0,0
8,2,5,0.0,39,0,0
10,4,35,0.0,3,1,1
5,1,10,0.0,5,0,0
17,2,6,0.0,24,0,0
19,1,21,0.0,7,0,0
17,2,26,8.5,14,0,1
17,3,5,8.0,9,0,0
8,4,21,8.0,9,0,0
5,1,21,0.0,3,0,1
14,1,7,12.5,5,0,1
8,4,6,8.0,5,0,0
17,4,26,8.0,0,1,1
14,1,4,0.0,2,1,1
8,1,20,8.5,4,1,1
17,4,52,8.0,6,0,0
15,2,6,0.0,5,0,1
8,3,20,0.0,2,1,0
10,1,7,0.0,7,0,0
10,4,28,0.0,3,0,1
1,1,7,0.0,7,0,0
19,1,56,8.5,0,1,0
10,1,12,8.0,6,0,0
10,1,41,8.5,0,0,0
5,2,10,8.0,9,0,0
5,3,22,8.0,0,0,0
14,1,2,0.0,7,0,0
5,3,6,8.0,9,0,0
21,4,26,0.0,0,0,1
8,1,7,10.0,4,0,0
15,5,21,0.0,5,0,0
10,4,13,0.0,7,0,0
21,2,6,0.0,10,0,0
14,4,45,0.0,9,1,0
8,3,41,0.0,5,0,0
14,2,54,8.0,5,1,1
17,1,77,10.0,0,0,0
14,1,33,8.0,8,1,1
8,2,8,0.0,5,1,1
8,3,29,8.0,5,0,1
21,3,9,8.0,10,0,0
15,3,27,0.0,9,1,0
5,4,21,8.0,2,0,0
8,1,14,10.0,6,0,0
15,1,63,8.0,4,1,1
5,4,28,0.0,4,0,0
14,1,33,8.0,5,0,0
17,2,27,10.5,4,0,0
17,4,28,0.0,0,0,1
10,2,21,11.0,4,0,0
5,2,20,9.5,5,0,0
15,1,14,8.0,1,0,0
19,4,21,0.0,20,0,0
17,1,20,8.0,3,0,0
10,3,24,8.0,5,0,1
8,1,21,10.0,6,1,0
10,2,34,0.0,4,1,0
10,4,27,0.0,0,0,0
14,2,63,14.0,14,1,0
8,4,25,0.0,4,1,0
15,5,15,0.0,17,0,0
8,4,35,0.0,5,1,1
5,4,27,0.0,0,0,0
17,4,25,8.0,4,1,0
5,5,1,8.0,5,1,1
21,1,14,8.5,4,0,0
14,2,9,0.0,3,1,1
5,3,7,0.0,7,0,1
5,4,35,0.0,7,0,0
21,1,28,10.0,3,0,1
19,4,35,8.0,5,0,0
19,5,7,0.0,6,0,0
5,1,21,11.0,4,0,0
10,1,21,8.0,14,0,0
5,4,49,8.0,6,1,0
14,3,17,8.0,7,0,0
8,4,7,0.0,6,0,0
15,2,50,8.5,0,0,0
8,3,12,0.0,13,0,0
14,2,7,11.0,6,0,0
14,4,7,8.0,7,1,1
10,4,33,8.0,3,1,0
14,1,1,11.5,12,0,0
17,1,70,10.5,5,1,0
8,3,44,8.0,6,0,0
14,1,84,14.5,0,1,1
14,4,14,0.0,7,0,0
14,4,40,0.0,13,0,0
14,2,74,11.5,7,1,0
14,3,10,8.0,4,0,0
21,2,72,8.0,0,0,0
8,2,5,8.0,9,0,1
15,3,14,0.0,5,1,1
5,1,21,11.5,3,0,0
8,1,48,8.0,8,1,1
15,2,28,8.0,2,0,0
8,2,7,0.0,12,0,0
10,1,7,0.0,13,0,0
14,3,18,0.0,5,1,1
10,4,24,0.0,0,0,0
19,3,17,0.0,0,0,0
10,3,21,0.0,13,0,0
10,2,7,14.0,8,0,0
8,2,21,8.0,7,0,0
14,1,21,11.5,5,1,0
5,3,16,8.0,4,0,1
14,2,26,11.0,4,0,1
17,4,25,0.0,4,1,0
5,4,50,0.0,4,1,1
8,3,7,0.0,6,0,1
8,3,40,8.0,3,0,0
10,4,13,0.0,6,0,0
14,2,12,8.0,3,0,0
8,1,13,0.0,3,0,0
21,3,7,0.0,16,0,0
21,1,36,8.0,7,0,0
14,2,12,0.0,5,0,0
15,3,35,0.0,17,1,1
15,3,34,8.0,6,0,0
8,1,9,8.0,5,0,0
19,3,21,0.0,8,0,0
14,2,5,0.0,36,0,0
17,2,7,0.0,8,0,0
5,3,44,8.0,4,0,0
19,5,49,0.0,3,1,0
14,3,78,8.0,0,0,0
8,4,49,8.0,10,1,0
14,3,16,8.0,4,0,0
10,2,21,12.0,4,0,1
21,4,49,0.0,4,1,1
8,3,7,0.0,9,0,0
8,3,16,0.0,2,1,0
17,1,21,13.0,4,1,1
14,3,10,8.0,5,0,1
14,1,35,8.0,9,0,0
14,5,27,0.0,9,0,0
8,2,27,8.0,4,1,0
5,1,7,17.5,12,0,0
21,3,17,0.0,0,0,1
5,2,8,0.0,9,0,1
17,2,43,8.0,3,0,0
8,1,3,0.0,0,0,0
14,2,7,8.5,8,0,0
14,1,5,10.5,4,0,0
14,1,7,0.0,35,0,0
14,4,29,8.0,8,0,1
17,1,7,12.5,4,0,0
5,1,24,13.5,5,0,0
10,2,4,8.0,7,0,0
17,2,7,10.0,3,0,0
15,4,35,8.0,4,0,0
8,2,17,8.0,2,0,0
14,3,17,8.0,10,0,1
8,2,2,8.0,14,0,0
5,1,16,15.0,11,0,0
17,2,13,0.0,0,0,0
10,1,14,8.0,8,0,0
14,3,12,8.0,8,0,1
10,4,35,8.0,13,0,0
10,4,5,0.0,7,0,0
21,4,27,0.0,10,1,1
19,4,7,0.0,15,0,0
8,4,5,0.0,3,0,0
14,1,6,0.0,14,0,0
8,4,18,0.0,24,0,0
5,1,13,10.0,3,0,1
19,3,33,8.0,8,0,0
10,1,7,11.0,12,0,0
14,4,33,0.0,8,1,0
8,5,6,8.0,9,0,0
8,4,35,0.0,7,1,0
5,1,5,8.0,0,1,0
19,1,7,8.5,6,0,0
14,4,5,0.0,6,0,0
14,3,17,0.0,13,1,1
5,1,20,11.0,5,1,0
15,4,35,8.0,5,1,0
14,4,20,8.0,12,1,1
15,3,15,0.0,4,0,0
15,3,21,0.0,4,1,0
5,4,22,0.0,3,0,0
17,3,17,0.0,4,1,0
21,1,21,8.5,7,0,1
5,1,9,8.0,0,0,1
8,4,5,0.0,22,0,0
14,4,22,0.0,4,0,0
14,2,26,8.0,5,0,0
14,1,9,8.0,0,0,0
5,4,42,8.0,6,1,1
8,3,21,0.0,3,0,0
17,2,20,8.0,3,0,0
15,1,6,0.0,0,0,1
10,3,3,0.0,3,0,0
15,2,7,10.5,6,0,0
15,1,17,10.5,8,0,0
15,2,21,13.5,3,0,0
14,4,21,0.0,25,0,0
21,2,14,8.5,2,0,1
8,2,4,8.0,9,0,0
10,3,16,0.0,6,0,0
5,5,56,8.0,3,1,0
5,3,29,8.0,7,0,0
14,2,33,8.0,9,0,0
19,1,69,13.0,0,0,0
14,2,13,8.0,3,1,0
10,5,4,0.0,7,0,0
14,2,15,8.0,3,0,0
17,1,21,11.0,10,0,0
8,1,20,8.0,6,0,0
10,1,6,0.0,0,0,1
14,3,10,8.0,8,0,0
14,2,9,8.0,7,0,1
21,4,21,8.0,16,0,0
14,1,14,11.0,4,0,0
19,4,3,0.0,7,0,0
10,2,6,0.0,11,0,1
15,3,6,0.0,5,0,0
15,1,2,0.0,17,0,0
10,4,9,8.0,16,0,0
14,3,42,0.0,8,0,1
12,3,25,0.0,15,1,1
8,5,13,8.0,16,0,0
14,1,5,8.0,5,0,0
14,3,7,0.0,2,0,0
8,2,24,8.0,10,0,0
8,3,21,0.0,12,1,1
10,3,38,8.0,11,0,0
10,3,7,0.0,6,0,1
14,1,2,0.0,10,1,0
8,1,41,8.0,0,0,0
5,4,35,8.0,9,1,0
8,3,20,0.0,10,0,0
10,1,9,8.0,3,0,1
8,1,34,14.5,7,0,1
8,4,28,0.0,6,0,0
5,2,14,0.0,8,0,0
8,4,41,8.0,10,0,0
17,3,35,0.0,7,0,0
5,3,8,8.0,16,0,0
21,2,7,11.0,4,0,0
8,3,13,8.0,5,0,0
17,3,7,0.0,6,0,1
14,1,14,8.0,3,0,0
17,5,35,0.0,3,1,1
15,3,19,0.0,8,0,0
8,1,6,14.0,7,0,0
5,1,5,8.0,7,0,0
14,1,7,8.5,6,0,0
14,1,14,0.0,4,0,1
17,3,7,0.0,17,0,0
10,1,7,13.0,3,0,1
19,2,3,0.0,5,0,0
8,3,52,8.0,2,1,0
15,4,7,0.0,3,0,0
10,5,19,8.0,10,0,0
14,4,3,0.0,15,0,0
5,4,7,0.0,6,0,0
8,4,33,0.0,3,1,0
14,4,7,0.0,6,0,0
14,3,24,8.0,5,1,0
14,2,9,8.0,7,0,0
14,4,3,8.0,5,0,0
15,4,35,8.0,7,1,0
5,1,1,0.0,5,1,1
1,4,26,0.0,0,0,0
10,4,26,0.0,0,0,0
14,3,38,8.0,6,0,0
19,1,14,12.0,21,0,0
5,2,42,11.5,4,1,1
5,2,3,8.0,4,0,0
17,1,11,13.0,16,0,0
14,2,26,0.0,5,1,0
10,3,57,8.0,0,0,0
8,2,33,0.0,9,1,0
17,1,8,8.0,0,0,1
14,5,31,0.0,6,1,0
17,3,6,8.0,9,0,0
8,1,7,8.0,4,0,1
21,1,21,10.0,4,0,0
10,4,14,0.0,17,0,0
17,1,5,0.0,4,0,0
10,1,22,10.5,4,0,0
15,1,9,10.5,7,0,0
19,1,7,10.5,9,0,0
14,4,11,8.0,11,1,1
8,1,7,11.5,5,0,1
14,2,42,10.0,0,0,1
19,2,21,11.5,8,0,0
8,1,35,10.0,5,1,0
8,1,45,11.5,6,1,0
14,1,7,13.5,6,0,1
10,4,28,0.0,0,0,0
10,1,7,11.5,4,0,0
15,5,14,0.0,14,0,0
8,2,12,0.0,7,0,0
17,4,49,0.0,10,0,0
14,4,44,0.0,10,1,1
5,2,11,10.0,0,1,0
15,2,2,8.0,22,0,0
8,1,59,10.0,0,0,0
14,1,5,8.0,0,1,0
15,3,15,8.0,4,0,1
5,2,3,0.0,7,0,1
21,1,20,12.5,9,0,0
10,5,6,8.0,8,0,0
5,1,20,10.0,10,0,0
21,2,7,9.5,3,0,0
14,4,20,0.0,10,0,0
10,4,15,0.0,8,0,0
15,1,17,0.0,3,0,0
14,1,14,11.0,15,0,0
15,5,7,0.0,10,0,0
17,4,13,0.0,7,0,0
17,3,14,0.0,13,0,0
10,2,19,8.0,11,0,0
21,2,10,0.0,0,0,1
14,1,11,8.0,5,0,0
10,1,6,11.5,14,0,0
